,Item
1077,DISP Juice Head Bars 8ML 5000 Puffs 650mAh 5% Peach Pear Freeze
1078,DISP Juice Head Bars 8ML 5000 Puffs 650mAh 5% Pineapple Grape Freeze
1079,DISP Juice Head Bars 8ML 5000 Puffs 650mAh 5% Pineapple Grapefruit
1080,DISP Juice Head Bars 8ML 5000 Puffs 650mAh 5% Watermelon Lime 
1081,DISP Juice Head Bars 8ML 5000 Puffs 650mAh 5% Watermelon Lime Freeze
1082,DISP Jus Bar 5% 8ml 3000 puffs Blackberry Jam
1083,DISP Jus Bar 5% 8ml 3000 puffs Blue Raspberry Cotton Candy
1084,DISP Jus Bar 5% 8ml 3000 puffs Burbon Whiskey Tobacco
1085,DISP Jus Bar 5% 8ml 3000 puffs Dragon Fruit
1086,DISP Jus Bar 5% 8ml 3000 puffs Key Lime Cookie
1087,DISP Jus Bar 5% 8ml 3000 puffs Peach Mango
1088,DISP Jus Bar 5% 8ml 3000 puffs Strawberry Milkshake
1089,DISP KROS 3 Unlimited 3% 14ML 6000 Puffs - Spearmint
1090,DISP KROS 3 Unlimited 3% 14ML 6000 Puffs - Tropical Rainbow Twist
1091,DISP KROS 3 Unlimited 3% 14ML 6000 Puffs - Vanilla Wafer
1092,DISP KROS 3 Unlimited 3% 14ML 6000 Puffs - Watermelon Bubblegum
1093,DISP KROS 3 Unlimited 5% 14ML 6000 Puffs - Spearmint
1094,DISP KROS 3 Unlimited 5% 14ML 6000 Puffs - Tropical Rainbow Twist
1095,DISP KROS 3 Unlimited 5% 14ML 6000 Puffs - Vanilla Wafer
1096,DISP KROS 3 Unlimited 5% 14ML 6000 Puffs - Watermelon Bubblegum
1097,DISP Lost Mary MO5000 Disposable 5% Black Mint
1098,DISP Lost Mary MO5000 Disposable 5% Black Strawnana
1099,DISP Lost Mary MO5000 Disposable 5% Blue Trio
1100,DISP Lost Mary MO5000 Disposable 5% Blueberry Raspberry Lemon
1101,DISP Lost Mary MO5000 Disposable 5% Cherry Lemon
1102,DISP Lost Mary MO5000 Disposable 5% Citrus Sunrise
1103,DISP Lost Mary MO5000 Disposable 5% Energize
1104,DISP Lost Mary MO5000 Disposable 5% Ginger Beer
1105,DISP Lost Mary MO5000 Disposable 5% Grape Jelly
1106,DISP Lost Mary MO5000 Disposable 5% Kiwi Passion Fruit Guava
1107,DISP Lost Mary MO5000 Disposable 5% Lemon Sparkling Wine
1108,DISP Lost Mary MO5000 Disposable 5% Mango Peach
1109,DISP Lost Mary MO5000 Disposable 5% Mango Peach Watermelon
1110,DISP Lost Mary MO5000 Disposable 5% Pineapple Apple Pear
1111,DISP Lost Mary MO5000 Disposable 5% Raspberry Lemonade
1112,DISP Lost Mary MO5000 Disposable 5% Watermelon Cherry
1113,DISP Lost Mary MO5000 Disposable 5% Watermelon Ice
1114,DISP Lost Mary MO5000 Disposable 5% Yummy
1115,DISP Lost Mary OS5000 Disposable 5% Black Mint
1116,DISP Lost Mary OS5000 Disposable 5% Blue Cotton Candy
1117,DISP Lost Mary OS5000 Disposable 5% Blue Razz Ice
1118,DISP Lost Mary OS5000 Disposable 5% Blueberry Ice
1119,DISP Lost Mary OS5000 Disposable 5% Cherry Banana Duo Ice
1120,DISP Lost Mary OS5000 Disposable 5% Cherry Cola
1121,DISP Lost Mary OS5000 Disposable 5% Cherry Peach Lemonade
1122,DISP Lost Mary OS5000 Disposable 5% Cranberry Soda
1123,DISP Lost Mary OS5000 Disposable 5% Grape
1124,DISP Lost Mary OS5000 Disposable 5% Juicy Peach
1125,DISP Lost Mary OS5000 Disposable 5% Mad Blue
1126,DISP Lost Mary OS5000 Disposable 5% Mary Dream
1127,DISP Lost Mary OS5000 Disposable 5% Peach Mango Watermelon
1128,DISP Lost Mary OS5000 Disposable 5% Pineapple Mango
1129,DISP Lost Mary OS5000 Disposable 5% Spearmint
1130,DISP Lost Mary OS5000 Disposable 5% Strawberry Ice
1131,DISP Lost Mary OS5000 Disposable 5% Strawberry Mango
1132,DISP Lost Mary OS5000 Disposable 5% Strawberry Pina Colada
1133,DISP Lost Mary OS5000 Disposable 5% Strawberry Sundae
1134,DISP Lost Mary OS5000 Disposable 5% Triple Berry Duo Ice
1135,DISP Lost Mary OS5000 Disposable 5% Watermelon
1136,DISP Lost Mary OS5000 Disposable 5% Watermelon Lemon
1137,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Aloe Grape
1138,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Banana Cake
1139,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Blackcurrant Mixed Berry
1140,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Blue Razz Honeydew
1141,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Blueberry Raspberry
1142,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Chicago Cocktail
1143,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Double Apple Ice
1144,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Misc.
1145,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Orange Ice
1146,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Passion Fruit Pineapple
1147,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Rainbow Drop
1148,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Summer Peach Ice
1149,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Triple Berries
1150,DISP ML Monster Bars MAX 6000 Banana Custard
1151,DISP ML Monster Bars MAX 6000 Banana Ice
1152,DISP ML Monster Bars MAX 6000 Black Cherry Jam
1153,DISP ML Monster Bars MAX 6000 Mangerine Guava Ice
1154,DISP ML Monster Bars MAX 6000 Melon Colada Ice
1155,DISP ML Monster Bars MAX 6000 Mint Tobacco
1156,DISP ML Monster Bars MAX 6000 Mixed Berry Ice
1157,DISP ML Monster Bars MAX 6000 Strawberry Banana
1158,DISP ML Monster Bars MAX 6000 Strawberry Lime
1159,DISP ML Monster Bars MAX 6000 Vanilla Custard
1160,DISP Monster Bars 7ML 0% 3500  Puffs 1000mAh Mint
1161,DISP Monster Bars 7ML 0% 3500  Puffs 1000mAh Mixed Berry Ice
1162,DISP Monster Bars 7ML 0% 3500  Puffs 1000mAh Vanilla Custard
1163,DISP Monster Bars 7ML 3% 3500  Puffs 1000mAh Mint
1164,DISP Monster Bars 7ML 3% 3500  Puffs 1000mAh Mixed Berry Ice
1165,DISP Monster Bars 7ML 3% 3500  Puffs 1000mAh Vanilla Custard
1166,DISP Monster Bars 7ML 3500  Puffs 1000mAh Banana Custard
1167,DISP Monster Bars 7ML 3500  Puffs 1000mAh Banana ICE
1168,DISP Monster Bars 7ML 3500  Puffs 1000mAh Blackberry Jam
1169,DISP Monster Bars 7ML 3500  Puffs 1000mAh Blueberry Jam
1170,DISP Monster Bars 7ML 3500  Puffs 1000mAh Blueberry Raspberry Lemon
1171,DISP Monster Bars 7ML 3500  Puffs 1000mAh Blueberry Raspberry Lemon ICE
1172,DISP Monster Bars 7ML 3500  Puffs 1000mAh Butterscotch Custard
1173,DISP Monster Bars 7ML 3500  Puffs 1000mAh Mango Peach Guava
1174,DISP Monster Bars 7ML 3500  Puffs 1000mAh Mango Peach Guava ICE
1175,DISP Monster Bars 7ML 3500  Puffs 1000mAh Mint
1176,DISP Monster Bars 7ML 3500  Puffs 1000mAh Mixed Berry
1177,DISP Monster Bars 7ML 3500  Puffs 1000mAh Mixed Berry ICE
1178,DISP Monster Bars 7ML 3500  Puffs 1000mAh Passionfruit Orange Guava
1179,DISP Monster Bars 7ML 3500  Puffs 1000mAh Passionfruit Orange Guava ICE
1180,DISP Monster Bars 7ML 3500  Puffs 1000mAh PB & Banana
1181,DISP Monster Bars 7ML 3500  Puffs 1000mAh PB & Grape
1182,DISP Monster Bars 7ML 3500  Puffs 1000mAh Smooth Tobacco
1183,DISP Monster Bars 7ML 3500  Puffs 1000mAh Strawberry Custard
1184,DISP Monster Bars 7ML 3500  Puffs 1000mAh Strawberry Jam
1185,DISP Monster Bars 7ML 3500  Puffs 1000mAh Strawberry Kiwi Pomegranate ICE
1186,DISP Monster Bars 7ML 3500 Puffs 1000mAh 5% Strawberry Kiwi Pomegranate
1187,DISP Monster Bars 7ML 3500 Puffs 1000mAh Blueberry Lemonade
1188,DISP Monster Bars 7ML 3500 Puffs 1000mAh Pink Lemonade
1189,DISP Monster Bars 7ML 3500 Puffs 1000mAh Strawberry Banana
1190,DISP Monster Bars 7ML 3500 Puffs 1000mAh Strawberry Banana Ice
1191,DISP Monster Bars 7ML 3500 Puffs 1000mAh Strawberry Lemonade
1192,DISP Monster Bars 7ML 3500 Puffs 1000mAh Vanilla Custard
1193,DISP Monster Bars 7ML 3500 Puffs 1000mAh Watermelon Lemonade
1194,DISP Monster Bars The Milk 7ML 3500 1000mAh Puffs 5% Berry Crunch
1195,DISP Monster Bars The Milk 7ML 3500 1000mAh Puffs 5% Cinnamon 
1196,DISP Monster Bars The Milk 7ML 3500 1000mAh Puffs 5% Fruity
1197,DISP Monster Mini 3ML 800 Puffs 5% Blue Raspberry Ice
1198,DISP Monster Mini 3ML 800 Puffs 5% Blueberry Bubblegum Ice
1199,DISP Monster Mini 3ML 800 Puffs 5% Coconut Melon
1200,DISP Monster Mini 3ML 800 Puffs 5% Cola Gummy
1201,DISP Monster Mini 3ML 800 Puffs 5% Cotton Candy Ice
1202,DISP Monster Mini 3ML 800 Puffs 5% Mango Ice
1203,DISP Monster Mini 3ML 800 Puffs 5% Mint
1204,DISP Monster Mini 3ML 800 Puffs 5% Mixed Berries
1205,DISP Monster Mini 3ML 800 Puffs 5% Pink Lemonade
1206,DISP Monster Mini 3ML 800 Puffs 5% Strawberry Banana Apple
1207,DISP Monster Mini 3ML 800 Puffs 5% Watermelon Ice
1208,DISP Nicless Next 0% NICOTINE FREE - Blue Razz Lemonade
1209,DISP Nicless Next 0% NICOTINE FREE - Cherry Lemonade
1210,DISP Nicless Next 0% NICOTINE FREE - Cool Mint
1211,DISP Nicless Next 0% NICOTINE FREE - Cool Mint
1212,DISP Nicless Next 0% NICOTINE FREE - Pink Lemonade
1213,DISP Nicless Next 0% NICOTINE FREE - Raspberry Lemonade
1214,DISP Nicless Next 0% NICOTINE FREE - Spearmint
1215,DISP Nicless Next 0% NICOTINE FREE - Watermelon Mango
1216,DISP Nicless Stick + Disposable 0% NICOTINE FREE - Banana Ice
1217,DISP Nicless Stick + Disposable 0% NICOTINE FREE - Blue Razz Lemonade
1218,DISP Nicless Stick + Disposable 0% NICOTINE FREE - Clear
1219,DISP Nicless Stick + Disposable 0% NICOTINE FREE - Cool Mint
1220,DISP Nicless Stick + Disposable 0% NICOTINE FREE - Kiwi Strawberry
1221,DISP Nicless Stick + Disposable 0% NICOTINE FREE - Lush Ice
1222,DISP Nicless Stick + Disposable 0% NICOTINE FREE - Menthol
1223,DISP Nicless Stick + Disposable 0% NICOTINE FREE - Peach Gummy Bear
1224,DISP Nicless Stick + Disposable 0% NICOTINE FREE - Pink Lemonade
1225,DISP Nicless Stick + Disposable 0% NICOTINE FREE - Spearmint
1226,DISP Nicless Stick + Disposable 0% NICOTINE FREE - Strawberry Banana
1227,DISP Nicless Stick + Disposable 0% NICOTINE FREE - Watermelon Mango
1228,DISP Pachamama 8ML 3000 Puffs 1200mAh Blue Razz Ice
1229,DISP Pachamama 8ML 3000 Puffs 1200mAh Clear
1230,DISP Pachamama 8ML 3000 Puffs 1200mAh Lemon Meringue
1231,DISP Pachamama 8ML 3000 Puffs 1200mAh Mango Ice
1232,DISP Pachamama 8ML 3000 Puffs 1200mAh Pink Lemonade
1233,DISP Pachamama 8ML 3000 Puffs 1200mAh Strawberry Kiwi
1234,DISP Pachamama 8ML 3000 Puffs 1200mAh Watermelon Ice
1235,DISP Pachamama 8ML 3000 Puffs 1200mAh White Grape
1236,DISP RAZ CA6000 10ML 5% Alaskan Mint
